iter	Passed	Remaining
0	82	24602
1	96	14442
2	111	11084
3	124	9207
4	138	8176
5	153	7503
6	167	7028
7	182	6659
8	196	6342
9	209	6084
10	222	5852
11	235	5653
12	248	5495
13	262	5364
14	275	5229
15	288	5126
16	302	5039
17	316	4956
18	329	4871
19	343	4802
20	355	4728
21	369	4667
22	383	4616
23	397	4574
24	411	4522
25	424	4472
26	437	4424
27	451	4381
28	463	4328
29	475	4278
30	488	4235
31	500	4193
32	512	4143
33	524	4103
34	536	4059
35	548	4019
36	560	3981
37	572	3947
38	584	3914
39	596	3875
40	608	3841
41	619	3804
42	631	3771
43	642	3736
44	653	3705
45	664	3669
46	676	3641
47	687	3609
48	699	3581
49	709	3548
50	720	3519
51	732	3492
52	744	3470
53	756	3446
54	767	3418
55	779	3396
56	790	3370
57	801	3342
58	811	3316
59	823	3293
60	835	3275
61	848	3258
62	859	3234
63	872	3216
64	884	3198
65	898	3186
66	912	3172
67	923	3152
68	936	3134
69	947	3113
70	958	3091
71	971	3076
72	983	3059
73	995	3038
74	1007	3021
75	1020	3008
76	1032	2990
77	1047	2980
78	1059	2964
79	1071	2946
80	1083	2928
81	1094	2909
82	1106	2891
83	1117	2872
84	1128	2854
85	1139	2835
86	1152	2821
87	1163	2804
88	1176	2789
89	1190	2778
90	1203	2763
91	1215	2749
92	1228	2733
93	1240	2717
94	1252	2702
95	1263	2685
96	1276	2670
97	1287	2654
98	1299	2637
99	1311	2623
100	1324	2609
101	1337	2595
102	1349	2580
103	1360	2563
104	1374	2553
105	1387	2538
106	1400	2526
107	1411	2509
108	1423	2493
109	1435	2479
110	1445	2461
111	1457	2446
112	1469	2431
113	1482	2418
114	1495	2405
115	1507	2391
116	1520	2377
117	1532	2363
118	1545	2350
119	1558	2337
120	1570	2323
121	1583	2309
122	1595	2295
123	1607	2281
124	1621	2270
125	1634	2256
126	1646	2242
127	1658	2228
128	1670	2214
129	1685	2204
130	1697	2190
131	1710	2177
132	1722	2163
133	1736	2151
134	1748	2136
135	1760	2122
136	1771	2107
137	1785	2095
138	1798	2083
139	1812	2071
140	1825	2058
141	1837	2044
142	1850	2032
143	1864	2019
144	1878	2008
145	1891	1995
146	1905	1983
147	1918	1970
148	1936	1962
149	1947	1947
150	1959	1933
151	1971	1919
152	1984	1906
153	1998	1894
154	2009	1880
155	2021	1866
156	2033	1852
157	2044	1837
158	2058	1825
159	2070	1811
160	2082	1798
161	2097	1787
162	2109	1773
163	2121	1759
164	2136	1748
165	2151	1736
166	2164	1723
167	2176	1709
168	2188	1696
169	2199	1681
170	2211	1667
171	2222	1654
172	2233	1639
173	2247	1627
174	2260	1614
175	2272	1601
176	2286	1589
177	2299	1575
178	2310	1562
179	2323	1549
180	2335	1535
181	2347	1522
182	2359	1508
183	2374	1497
184	2390	1486
185	2402	1472
186	2415	1459
187	2427	1446
188	2439	1432
189	2452	1419
190	2463	1405
191	2475	1392
192	2490	1380
193	2502	1367
194	2514	1353
195	2526	1340
196	2538	1327
197	2551	1314
198	2565	1302
199	2579	1289
200	2592	1276
201	2606	1264
202	2619	1251
203	2634	1239
204	2650	1228
205	2662	1214
206	2674	1201
207	2685	1187
208	2700	1175
209	2714	1163
210	2726	1149
211	2737	1136
212	2749	1122
213	2761	1109
214	2773	1096
215	2786	1083
216	2798	1070
217	2811	1057
218	2824	1044
219	2835	1031
220	2848	1018
221	2861	1005
222	2874	992
223	2888	979
224	2899	966
225	2910	953
226	2922	939
227	2935	926
228	2947	913
229	2958	900
230	2970	887
231	2983	874
232	2995	861
233	3008	848
234	3023	836
235	3036	823
236	3048	810
237	3060	797
238	3074	784
239	3087	771
240	3103	759
241	3115	746
242	3127	733
243	3139	720
244	3154	708
245	3168	695
246	3180	682
247	3192	669
248	3204	656
249	3216	643
250	3231	630
251	3243	617
252	3259	605
253	3273	592
254	3288	580
255	3300	567
256	3315	554
257	3327	541
258	3341	528
259	3354	516
260	3366	503
261	3380	490
262	3393	477
263	3406	464
264	3418	451
265	3430	438
266	3445	425
267	3458	412
268	3471	400
269	3484	387
270	3495	374
271	3509	361
272	3521	348
273	3534	335
274	3545	322
275	3556	309
276	3567	296
277	3579	283
278	3592	270
279	3606	257
280	3617	244
281	3631	231
282	3643	218
283	3655	205
284	3668	193
285	3681	180
286	3694	167
287	3707	154
288	3719	141
289	3731	128
290	3745	115
291	3757	102
292	3769	90
293	3782	77
294	3794	64
295	3809	51
296	3822	38
297	3833	25
298	3845	12
299	3857	0
